,车号,CollectTime,加速踏板位置,电池包主负继电器状态,电池包主正继电器状态,制动踏板状态,驾驶员离开提示,主驾驶座占用状态,驾驶员安全带状态,手刹状态,整车钥匙状态,低压蓄电池电压,整车当前档位状态,整车当前总电流,整车当前总电压,车速,方向盘转角,time_delta,time_delta_5,电池包主负继电器状态cate,if_off,if_on,v_diff1,v_diff2,v_diff3,v_diff4,a_min5,a_mean5,a_max3
55,121,2020-11-29 06:23:27,0.0,断开,断开,未踩,No Warning,空置,未系,手刹拉起,OFF,11.98,空档,0.0,121.3,0.0,0.0,2.0,10.0,0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
56,121,2020-11-29 06:23:29,0.0,断开,断开,未踩,No Warning,空置,未系,手刹拉起,OFF,11.98,空档,0.0,121.3,0.0,0.0,2.0,10.0,0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
63,121,2020-11-29 10:31:35,0.0,断开,断开,未踩,No Warning,空置,未系,手刹拉起,OFF,12.08,空档,0.0,121.3,0.0,0.0,2.0,10.0,0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
64,121,2020-11-29 10:31:37,0.0,断开,断开,未踩,No Warning,空置,未系,手刹拉起,OFF,12.05,空档,0.0,121.3,0.0,0.0,2.0,10.0,0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
65,121,2020-11-29 10:31:39,0.0,断开,断开,未踩,No Warning,空置,未系,手刹拉起,OFF,12.05,空档,0.0,121.3,0.0,0.0,2.0,10.0,0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
66,121,2020-11-29 10:31:41,0.0,断开,断开,未踩,No Warning,空置,未系,手刹拉起,OFF,12.05,空档,0.0,121.3,0.0,0.0,2.0,10.0,0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
67,121,2020-11-29 10:31:43,0.0,断开,断开,未踩,No Warning,空置,未系,手刹拉起,OFF,12.05,空档,0.0,121.3,0.0,0.0,2.0,10.0,0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
68,121,2020-11-29 10:31:45,0.0,断开,断开,未踩,No Warning,空置,未系,手刹拉起,OFF,12.05,空档,0.0,121.3,0.0,0.0,2.0,10.0,0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
69,121,2020-11-29 10:31:47,0.0,断开,断开,未踩,No Warning,空置,未系,手刹拉起,OFF,12.01,空档,0.0,121.3,0.0,0.0,2.0,10.0,0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
70,121,2020-11-29 10:31:49,0.0,断开,断开,未踩,No Warning,空置,未系,手刹拉起,OFF,12.01,空档,0.0,121.3,0.0,0.0,2.0,10.0,0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
71,121,2020-11-29 10:31:51,0.0,断开,断开,未踩,No Warning,空置,未系,手刹拉起,OFF,12.01,空档,0.0,121.3,0.0,0.0,2.0,10.0,0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
72,121,2020-11-29 10:31:53,0.0,断开,断开,未踩,No Warning,空置,未系,手刹拉起,OFF,12.01,空档,0.0,121.3,0.0,0.0,2.0,10.0,0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
73,121,2020-11-29 10:31:55,0.0,断开,断开,未踩,No Warning,空置,未系,手刹拉起,OFF,12.01,空档,0.0,121.3,0.0,0.0,2.0,10.0,0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
74,121,2020-11-29 10:31:57,0.0,断开,断开,未踩,No Warning,空置,未系,手刹拉起,OFF,12.01,空档,0.0,121.3,0.0,0.0,2.0,10.0,0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
75,121,2020-11-29 10:31:59,0.0,断开,断开,未踩,No Warning,空置,未系,手刹拉起,OFF,12.01,空档,0.0,121.3,0.0,0.0,2.0,10.0,0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
76,121,2020-11-29 10:32:01,0.0,断开,断开,未踩,No Warning,空置,未系,手刹拉起,OFF,12.01,空档,0.0,121.3,0.0,0.0,2.0,10.0,0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
77,121,2020-11-29 10:32:03,0.0,断开,断开,未踩,No Warning,空置,未系,手刹拉起,OFF,12.01,空档,0.0,121.3,0.0,0.0,2.0,10.0,0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
78,121,2020-11-29 10:32:05,0.0,断开,断开,未踩,No Warning,空置,未系,手刹拉起,OFF,12.01,空档,0.0,121.3,0.0,0.0,2.0,10.0,0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
79,121,2020-11-29 10:32:07,0.0,断开,断开,未踩,No Warning,空置,未系,手刹拉起,OFF,12.01,空档,0.0,121.3,0.0,0.0,2.0,10.0,0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
80,121,2020-11-29 10:32:09,0.0,断开,断开,未踩,No Warning,空置,未系,手刹拉起,OFF,11.98,空档,0.0,121.3,0.0,0.0,2.0,10.0,0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
81,121,2020-11-29 10:32:11,0.0,断开,断开,未踩,No Warning,空置,未系,手刹拉起,OFF,11.98,空档,0.0,121.3,0.0,0.0,2.0,10.0,0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
82,121,2020-11-29 10:32:13,0.0,断开,断开,未踩,No Warning,空置,未系,手刹拉起,OFF,11.98,空档,0.0,121.3,0.0,0.0,2.0,10.0,0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
83,121,2020-11-29 10:32:15,0.0,断开,断开,未踩,No Warning,空置,未系,手刹拉起,OFF,11.98,空档,0.0,121.3,0.0,0.0,2.0,10.0,0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
84,121,2020-11-29 10:32:17,0.0,断开,断开,未踩,No Warning,空置,未系,手刹拉起,OFF,12.01,空档,0.0,121.3,0.0,0.0,2.0,10.0,0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
85,121,2020-11-29 10:32:19,0.0,断开,断开,未踩,No Warning,空置,未系,手刹拉起,OFF,12.01,空档,0.0,121.3,0.0,0.0,2.0,10.0,0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
86,121,2020-11-29 10:32:21,0.0,断开,断开,未踩,No Warning,空置,未系,手刹拉起,OFF,12.01,空档,0.0,121.3,0.0,0.0,2.0,10.0,0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
87,121,2020-11-29 10:32:23,0.0,断开,断开,未踩,No Warning,空置,未系,手刹拉起,OFF,11.98,空档,0.0,121.3,0.0,0.0,2.0,10.0,0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
88,121,2020-11-29 10:32:25,0.0,断开,断开,未踩,No Warning,空置,未系,手刹拉起,OFF,11.98,空档,0.0,121.3,0.0,0.0,2.0,10.0,0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
89,121,2020-11-29 10:32:27,0.0,断开,断开,未踩,No Warning,空置,未系,手刹拉起,OFF,11.98,空档,0.0,121.3,0.0,0.0,2.0,10.0,0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
90,121,2020-11-29 10:32:29,0.0,断开,断开,未踩,No Warning,空置,未系,手刹拉起,OFF,11.98,空档,0.0,121.3,0.0,0.0,2.0,10.0,0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
91,121,2020-11-29 10:32:31,0.0,断开,断开,未踩,No Warning,空置,未系,手刹拉起,OFF,11.98,空档,0.0,121.3,0.0,0.0,2.0,10.0,0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
92,121,2020-11-29 10:32:33,0.0,断开,断开,未踩,No Warning,空置,未系,手刹拉起,OFF,11.98,空档,0.0,121.3,0.0,0.0,2.0,10.0,0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
93,121,2020-11-29 10:32:35,0.0,断开,断开,未踩,No Warning,空置,未系,手刹拉起,OFF,11.98,空档,0.0,121.3,0.0,0.0,2.0,10.0,0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
94,121,2020-11-29 10:32:37,0.0,断开,断开,未踩,No Warning,空置,未系,手刹拉起,OFF,11.98,空档,0.0,121.3,0.0,0.0,2.0,10.0,0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
95,121,2020-11-29 10:32:39,0.0,断开,断开,未踩,No Warning,空置,未系,手刹拉起,OFF,11.98,空档,0.0,121.3,0.0,0.0,2.0,10.0,0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
96,121,2020-11-29 10:32:41,0.0,断开,断开,未踩,No Warning,空置,未系,手刹拉起,OFF,11.98,空档,0.0,121.3,0.0,0.0,2.0,10.0,0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
97,121,2020-11-29 10:32:43,0.0,断开,断开,未踩,No Warning,空置,未系,手刹拉起,OFF,11.98,空档,0.0,121.3,0.0,0.0,2.0,10.0,0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
98,121,2020-11-29 10:32:45,0.0,断开,断开,未踩,No Warning,空置,未系,手刹拉起,OFF,11.98,空档,0.0,121.3,0.0,0.0,2.0,10.0,0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
99,121,2020-11-29 10:32:47,0.0,断开,断开,未踩,No Warning,空置,未系,手刹拉起,OFF,11.98,空档,0.0,121.3,0.0,0.0,2.0,10.0,0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
100,121,2020-11-29 10:32:49,0.0,断开,断开,未踩,No Warning,空置,未系,手刹拉起,OFF,11.98,空档,0.0,121.3,0.0,0.0,2.0,10.0,0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
101,121,2020-11-29 10:32:51,0.0,断开,断开,未踩,No Warning,空置,未系,手刹拉起,OFF,11.98,空档,0.0,121.3,0.0,0.0,2.0,10.0,0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
102,121,2020-11-29 10:32:53,0.0,断开,断开,未踩,No Warning,空置,未系,手刹拉起,OFF,11.98,空档,0.0,121.3,0.0,0.0,2.0,10.0,0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
103,121,2020-11-29 10:32:55,0.0,断开,断开,未踩,No Warning,空置,未系,手刹拉起,OFF,11.98,空档,0.0,121.3,0.0,0.0,2.0,10.0,0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
104,121,2020-11-29 10:32:57,0.0,断开,断开,未踩,No Warning,空置,未系,手刹拉起,OFF,11.98,空档,0.0,121.3,0.0,0.0,2.0,10.0,0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
105,121,2020-11-29 10:32:59,0.0,断开,断开,未踩,No Warning,空置,未系,手刹拉起,OFF,11.98,空档,0.0,121.3,0.0,0.0,2.0,10.0,0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
106,121,2020-11-29 10:33:01,0.0,断开,断开,未踩,No Warning,空置,未系,手刹拉起,OFF,11.98,空档,0.0,121.3,0.0,0.0,2.0,10.0,0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
107,121,2020-11-29 10:33:03,0.0,断开,断开,未踩,No Warning,空置,未系,手刹拉起,OFF,11.98,空档,0.0,121.3,0.0,0.0,2.0,10.0,0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
108,121,2020-11-29 10:33:05,0.0,断开,断开,未踩,No Warning,空置,未系,手刹拉起,OFF,11.98,空档,0.0,121.3,0.0,0.0,2.0,10.0,0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
109,121,2020-11-29 10:33:07,0.0,断开,断开,未踩,No Warning,空置,未系,手刹拉起,OFF,11.98,空档,0.0,121.3,0.0,0.0,2.0,10.0,0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
110,121,2020-11-29 10:33:09,0.0,断开,断开,未踩,No Warning,空置,未系,手刹拉起,OFF,11.98,空档,0.0,121.3,0.0,0.0,2.0,10.0,0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
111,121,2020-11-29 10:33:11,0.0,断开,断开,未踩,No Warning,空置,未系,手刹拉起,OFF,11.98,空档,0.0,121.3,0.0,0.0,2.0,10.0,0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
112,121,2020-11-29 10:33:13,0.0,断开,断开,未踩,No Warning,空置,未系,手刹拉起,OFF,11.98,空档,0.0,121.3,0.0,0.0,2.0,10.0,0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
113,121,2020-11-29 10:33:15,0.0,断开,断开,未踩,No Warning,空置,未系,手刹拉起,OFF,11.98,空档,0.0,121.3,0.0,0.0,2.0,10.0,0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
120,121,2020-11-29 14:47:04,0.0,断开,断开,未踩,No Warning,空置,未系,手刹拉起,OFF,12.12,空档,0.0,121.3,0.0,0.0,2.0,10.0,0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
121,121,2020-11-29 14:47:06,0.0,断开,断开,未踩,No Warning,空置,未系,手刹拉起,OFF,12.08,空档,0.0,121.3,0.0,0.0,2.0,10.0,0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
122,121,2020-11-29 14:47:08,0.0,断开,断开,未踩,No Warning,空置,未系,手刹拉起,OFF,12.08,空档,0.0,121.3,0.0,0.0,2.0,10.0,0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
123,121,2020-11-29 14:47:10,0.0,断开,断开,未踩,No Warning,空置,未系,手刹拉起,OFF,12.05,空档,0.0,121.3,0.0,0.0,2.0,10.0,0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
124,121,2020-11-29 14:47:12,0.0,断开,断开,未踩,No Warning,空置,未系,手刹拉起,OFF,12.05,空档,0.0,121.3,0.0,0.0,2.0,10.0,0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
125,121,2020-11-29 14:47:14,0.0,断开,断开,未踩,No Warning,空置,未系,手刹拉起,OFF,12.05,空档,0.0,121.3,0.0,0.0,2.0,10.0,0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
126,121,2020-11-29 14:47:16,0.0,断开,断开,未踩,No Warning,空置,未系,手刹拉起,OFF,12.05,空档,0.0,121.3,0.0,0.0,2.0,10.0,0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
127,121,2020-11-29 14:47:18,0.0,断开,断开,未踩,No Warning,空置,未系,手刹拉起,OFF,12.05,空档,0.0,121.3,0.0,0.0,2.0,10.0,0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
